Query,Expected Entity,Predicted Entity,Confidence
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,music_item,,0.0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,playlist,,0.0
Add a derek watkins tune to This Is Johnny Cash,,music_item,0.9955892562866211
Add a derek watkins tune to This Is Johnny Cash,,playlist,0.7598772048950195
Add a derek watkins tune to This Is Johnny Cash,,artist,0.57
Add a derek watkins tune to This Is Johnny Cash,artist,,0.0
Add a derek watkins tune to This Is Johnny Cash,music_item,,0.0
Add a derek watkins tune to This Is Johnny Cash,playlist_owner,,0.0
Add a derek watkins tune to This Is Johnny Cash,playlist,,0.0
Can you add Larry Heard to my laundry playlist?,,artist,0.9950574636459351
Can you add Larry Heard to my laundry playlist?,,entity_name,0.6313152313232422
Can you add Larry Heard to my laundry playlist?,,playlist_owner,0.9250353574752808
Can you add Larry Heard to my laundry playlist?,,playlist,0.9835916757583618
Can you add Larry Heard to my laundry playlist?,music_item,,0.0
Can you add Larry Heard to my laundry playlist?,playlist,,0.0
Add a song to Indie Hipster,music_item,music_item,0.995678722858429
Add a song to Indie Hipster,playlist_owner,object_name,0.2914998531341553
Add a song to Indie Hipster,playlist,,0.0
I need to add baro ferret to the Urban Hits under my name,,restaurant_type,0.332770973443985
I need to add baro ferret to the Urban Hits under my name,,object_name,0.47581398487091064
I need to add baro ferret to the Urban Hits under my name,,city,0.34338265657424927
I need to add baro ferret to the Urban Hits under my name,,playlist_owner,0.2195429503917694
I need to add baro ferret to the Urban Hits under my name,artist,,0.0
I need to add baro ferret to the Urban Hits under my name,playlist,,0.0
Add the artist to the political punks playlist.,,music_item,0.9941233992576599
Add the artist to the political punks playlist.,,country,0.28906217217445374
Add the artist to the political punks playlist.,music_item,,0.0
Add the artist to the political punks playlist.,playlist,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,,playlist_owner,0.9271355271339417
add tierney sutton to my Novedades Viernes Sudamerica playlist,,object_type,0.21919623017311096
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist_owner,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,artist,,0.0
Add Ted Heath to the road trip playlist.,,track,0.2467278242111206
Add Ted Heath to the road trip playlist.,,object_name,0.9461400508880615
Add Ted Heath to the road trip playlist.,,playlist,0.692776620388031
Add Ted Heath to the road trip playlist.,artist,,0.0
Add Ted Heath to the road trip playlist.,playlist_owner,,0.0
Add Ted Heath to the road trip playlist.,playlist,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,,object_name,0.5
Add the Matt Murphy tune to the Flow Espanol playlist.,,music_item,0.9915682673454285
Add the Matt Murphy tune to the Flow Espanol playlist.,,object_name,0.35197314620018005
Add the Matt Murphy tune to the Flow Espanol playlist.,music_item,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist_owner,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist,,0.0
Add the chris clark tune to my women of the blues playlist.,,artist,0.5052319169044495
Add the chris clark tune to my women of the blues playlist.,,music_item,0.9938734769821167
Add the chris clark tune to my women of the blues playlist.,,playlist_owner,0.9159802198410034
Add the chris clark tune to my women of the blues playlist.,entity_name,,0.0
Add the chris clark tune to my women of the blues playlist.,playlist_owner,,0.0
Add the chris clark tune to my women of the blues playlist.,playlist,,0.0
Add Roel van Velzen to my party of the century playlist.,,object_name,0.4722599983215332
Add Roel van Velzen to my party of the century playlist.,,playlist_owner,0.9221767783164978
Add Roel van Velzen to my party of the century playlist.,,object_name,0.2796666622161865
Add Roel van Velzen to my party of the century playlist.,artist,,0.0
Add Roel van Velzen to my party of the century playlist.,playlist,,0.0
Add the album to the Hipster Soul playlist.,,playlist,0.62
Add the album to the Hipster Soul playlist.,artist,,0.0
Add the album to the Hipster Soul playlist.,playlist_owner,,0.0
Add the album to the Hipster Soul playlist.,playlist,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,,music_item,0.9947227239608765
Add the song virales de siempre by the cary brothers to my gym playlist.,,playlist,0.5398709774017334
Add the song virales de siempre by the cary brothers to my gym playlist.,,playlist_owner,0.8215094804763794
Add the song virales de siempre by the cary brothers to my gym playlist.,entity_name,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist_owner,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist,,0.0
Add a track to Jazzy Dinner,,music_item,0.9512016177177429
Add a track to Jazzy Dinner,,playlist,0.65
Add a track to Jazzy Dinner,entity_name,,0.0
Add a track to Jazzy Dinner,playlist_owner,,0.0
Add a track to Jazzy Dinner,playlist,,0.0
Add this tune to dorthy's 80's party playlist,,music_item,0.994579553604126
Add this tune to dorthy's 80's party playlist,,rating_value,0.36441540718078613
Add this tune to dorthy's 80's party playlist,entity_name,,0.0
Add this tune to dorthy's 80's party playlist,playlist,,0.0
Add this album to the Spanish Beat playlist,,object_name,0.3082292079925537
Add this album to the Spanish Beat playlist,music_item,,0.0
Add this album to the Spanish Beat playlist,playlist,,0.0
Add an artist to Jukebox Boogie Rhythm & Blues,,music_item,0.993536651134491
Add an artist to Jukebox Boogie Rhythm & Blues,,object_name,0.7429965734481812
Add an artist to Jukebox Boogie Rhythm & Blues,,object_type,0.27836185693740845
Add an artist to Jukebox Boogie Rhythm & Blues,music_item,,0.0
Add an artist to Jukebox Boogie Rhythm & Blues,playlist,,0.0
Put abe laboriel onto the Escapada playlist.,,object_type,0.23975995182991028
Put abe laboriel onto the Escapada playlist.,artist,,0.0
Put abe laboriel onto the Escapada playlist.,music_item,,0.0
Put abe laboriel onto the Escapada playlist.,playlist,,0.0
Add martin barre to my punk unplugged playlist.,,party_size_description,0.9371896982192993
Add martin barre to my punk unplugged playlist.,,restaurant_type,0.28354430198669434
Add martin barre to my punk unplugged playlist.,,playlist_owner,0.9152267575263977
Add martin barre to my punk unplugged playlist.,music_item,,0.0
Add martin barre to my punk unplugged playlist.,playlist_owner,,0.0
Add martin barre to my punk unplugged playlist.,playlist,,0.0
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,,music_item,0.9907949566841125
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,,object_name,0.47555485367774963
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,,playlist,0.9712600708007812
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,,object_name,0.9250163435935974
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,entity_name,,0.0
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,playlist_owner,,0.0
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,playlist,,0.0
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,,object_name,0.9853197932243347
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,,restaurant_name,0.489160418510437
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,,timeRange,0.5752328634262085
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,,playlist_owner,0.852286696434021
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,,object_name,0.3006778955459595
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,,object_name,0.46874725818634033
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,artist,,0.0
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,playlist_owner,,0.0
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,playlist,,0.0
Add a song to my playlist madden nfl 16,,music_item,0.9950590133666992
Add a song to my playlist madden nfl 16,,playlist_owner,0.9226618409156799
Add a song to my playlist madden nfl 16,,best_rating,0.3524332642555237
Add a song to my playlist madden nfl 16,music_item,,0.0
Add a song to my playlist madden nfl 16,playlist,,0.0
Please add this track by Paul McGuigan to the Deep House playlist.,,music_item,0.969203531742096
Please add this track by Paul McGuigan to the Deep House playlist.,,artist,0.52
Please add this track by Paul McGuigan to the Deep House playlist.,,object_name,0.32902342081069946
Please add this track by Paul McGuigan to the Deep House playlist.,music_item,,0.0
Please add this track by Paul McGuigan to the Deep House playlist.,playlist,,0.0
Add the artist to my dishwashing playlist.,,music_item,0.993854820728302
Add the artist to my dishwashing playlist.,,playlist_owner,0.9284365177154541
Add the artist to my dishwashing playlist.,entity_name,,0.0
Add the artist to my dishwashing playlist.,playlist_owner,,0.0
Add the artist to my dishwashing playlist.,playlist,,0.0
Add the artist Adam Deibert to my Perfect Concentration playlist.,,music_item,0.9865220189094543
Add the artist Adam Deibert to my Perfect Concentration playlist.,,object_name,0.30959197878837585
Add the artist Adam Deibert to my Perfect Concentration playlist.,,playlist_owner,0.2509891092777252
Add the artist Adam Deibert to my Perfect Concentration playlist.,artist,,0.0
Add the artist Adam Deibert to my Perfect Concentration playlist.,playlist,,0.0
add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,,artist,0.7539215683937073
add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,,rating_value,0.40362605452537537
add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,,object_name,0.4861506223678589
add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,,object_name,0.26973414421081543
add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,artist,,0.0
add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,playlist,,0.0
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,artist,object_name,0.6873685121536255
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,,object_name,0.16864141821861267
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,,playlist_owner,0.17940565943717957
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,,rating_value,0.41064217686653137
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,,best_rating,0.3627271056175232
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,playlist,,0.0
Add the 40 cal tune to the laundry playlist.,,rating_value,0.4606325626373291
Add the 40 cal tune to the laundry playlist.,playlist,music_item,0.9947072267532349
Add the 40 cal tune to the laundry playlist.,,playlist,0.9815230965614319
Add the 40 cal tune to the laundry playlist.,music_item,,0.0
Add porter wagoner to the The Sleep Machine Waterscapes playlist.,,object_name,0.2251417338848114
Add porter wagoner to the The Sleep Machine Waterscapes playlist.,artist,,0.0
Add porter wagoner to the The Sleep Machine Waterscapes playlist.,playlist_owner,,0.0
Add porter wagoner to the The Sleep Machine Waterscapes playlist.,playlist,,0.0
Add lofty fake anagram to the la mejor musica de bso playlist.,,artist,0.17094403505325317
Add lofty fake anagram to the la mejor musica de bso playlist.,playlist,state,0.510425865650177
Add lofty fake anagram to the la mejor musica de bso playlist.,,playlist,0.4207344651222229
Add lofty fake anagram to the la mejor musica de bso playlist.,entity_name,,0.0
add we have a theme song to my House Afterwork playlist,,music_item,0.9961918592453003
add we have a theme song to my House Afterwork playlist,,playlist_owner,0.7842056751251221
add we have a theme song to my House Afterwork playlist,,timeRange,0.7465285658836365
add we have a theme song to my House Afterwork playlist,music_item,,0.0
add we have a theme song to my House Afterwork playlist,playlist_owner,,0.0
add we have a theme song to my House Afterwork playlist,playlist,,0.0
put the artist onto Top Latin Alternative.,,music_item,0.9941303133964539
put the artist onto Top Latin Alternative.,,object_name,0.22187063097953796
put the artist onto Top Latin Alternative.,playlist_owner,,0.0
put the artist onto Top Latin Alternative.,playlist,,0.0
put the artist onto Top Latin Alternative.,music_item,,0.0
Add kent james to the disney soundtrack.,,object_type,0.6760576367378235
Add kent james to the disney soundtrack.,,spatial_relation,0.2841540277004242
Add kent james to the disney soundtrack.,,object_type,0.9949474334716797
Add kent james to the disney soundtrack.,entity_name,,0.0
Add kent james to the disney soundtrack.,playlist_owner,,0.0
Add kent james to the disney soundtrack.,playlist,,0.0
add nuba to my Metal Party playlist,,playlist_owner,0.872371256351471
add nuba to my Metal Party playlist,artist,,0.0
add nuba to my Metal Party playlist,playlist,,0.0
Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,,object_name,0.25395482778549194
Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,playlist,best_rating,0.15387673676013947
Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,,service,0.990882396697998
Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,artist,,0.0
Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,playlist_owner,,0.0
Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?,,playlist,0.1129259541630745
Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?,,object_name,0.8650563359260559
Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?,,playlist,0.2328217774629593
Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?,artist,,0.0
Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?,playlist,,0.0
Add this album to Old School Death Metal,,object_name,0.42939308285713196
Add this album to Old School Death Metal,music_item,,0.0
Add this album to Old School Death Metal,playlist,,0.0
add this artist to my Electronic Bliss playlist,,music_item,0.9945202469825745
add this artist to my Electronic Bliss playlist,,playlist_owner,0.6792484521865845
add this artist to my Electronic Bliss playlist,,playlist,0.335972398519516
add this artist to my Electronic Bliss playlist,music_item,,0.0
add this artist to my Electronic Bliss playlist,playlist,,0.0
Add the album to my Perfect Concentration playlist.,,playlist_owner,0.1610337793827057
Add the album to my Perfect Concentration playlist.,music_item,,0.0
Add the album to my Perfect Concentration playlist.,playlist_owner,,0.0
Add the album to my Perfect Concentration playlist.,playlist,,0.0
add a song in my All Out 60s,,music_item,0.9960477948188782
add a song in my All Out 60s,,playlist_owner,0.938795804977417
add a song in my All Out 60s,,playlist,0.2539469301700592
add a song in my All Out 60s,,object_name,0.2995932698249817
add a song in my All Out 60s,artist,,0.0
add a song in my All Out 60s,playlist,,0.0
add digging now to my Young at Heart playlist,,timeRange,0.9922865629196167
add digging now to my Young at Heart playlist,,playlist_owner,0.9362784028053284
add digging now to my Young at Heart playlist,,entity_name,0.876374363899231
add digging now to my Young at Heart playlist,artist,,0.0
add digging now to my Young at Heart playlist,playlist_owner,,0.0
add digging now to my Young at Heart playlist,playlist,,0.0
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,,music_item,0.9952510595321655
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,,sort,0.2246849685907364
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,,rating_value,0.40101227164268494
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,,playlist_owner,0.8977625370025635
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,,playlist,0.66
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,artist,,0.0
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,playlist_owner,,0.0
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,playlist,,0.0
add the song to my We Everywhere playlist,,music_item,0.9958500862121582
add the song to my We Everywhere playlist,,playlist_owner,0.9379599094390869
add the song to my We Everywhere playlist,,object_name,0.5468857884407043
add the song to my We Everywhere playlist,,object_name,0.7278913259506226
add the song to my We Everywhere playlist,artist,,0.0
add the song to my We Everywhere playlist,playlist,,0.0
Add the album to the Might and Myth Power Metal playlist.,,object_name,0.62
Add the album to the Might and Myth Power Metal playlist.,,playlist_owner,0.29308125376701355
Add the album to the Might and Myth Power Metal playlist.,music_item,,0.0
Add the album to the Might and Myth Power Metal playlist.,playlist,,0.0
Add a song to this is racionais mc's,,music_item,0.9956875443458557
Add a song to this is racionais mc's,playlist,object_name,0.2534751296043396
Add a song to this is racionais mc's,artist,,0.0
"Add Jerry Calliste, Jr to my Te quiero playlist.",,artist,0.711092472076416
"Add Jerry Calliste, Jr to my Te quiero playlist.",music_item,track,0.14616310596466064
"Add Jerry Calliste, Jr to my Te quiero playlist.",,playlist_owner,0.9460300207138062
"Add Jerry Calliste, Jr to my Te quiero playlist.",,playlist,0.3549748361110687
"Add Jerry Calliste, Jr to my Te quiero playlist.",,rating_value,0.29253047704696655
"Add Jerry Calliste, Jr to my Te quiero playlist.",artist,,0.0
"Add Jerry Calliste, Jr to my Te quiero playlist.",playlist,,0.0
Add sarah slean to my playlist Mellowed Out Gaming,,artist,0.982288122177124
Add sarah slean to my playlist Mellowed Out Gaming,,playlist_owner,0.9293671250343323
Add sarah slean to my playlist Mellowed Out Gaming,,playlist,0.3580838441848755
Add sarah slean to my playlist Mellowed Out Gaming,,object_name,0.27192172408103943
Add sarah slean to my playlist Mellowed Out Gaming,music_item,,0.0
Add sarah slean to my playlist Mellowed Out Gaming,playlist,,0.0
Add the album to my Flow Espanol playlist.,music_item,playlist_owner,0.9354612231254578
Add the album to my Flow Espanol playlist.,,object_name,0.3646054267883301
Add the album to my Flow Espanol playlist.,artist,,0.0
Add the album to my Flow Espanol playlist.,playlist_owner,,0.0
Add the album to my Flow Espanol playlist.,playlist,,0.0
add this artist to my spotlight on country 2016 playlist,,music_item,0.9933926463127136
add this artist to my spotlight on country 2016 playlist,playlist_owner,playlist_owner,0.922762930393219
add this artist to my spotlight on country 2016 playlist,entity_name,timeRange,0.39139053225517273
add this artist to my spotlight on country 2016 playlist,,playlist,0.24918627738952637
add this artist to my spotlight on country 2016 playlist,,rating_value,0.4048067033290863
add this artist to my spotlight on country 2016 playlist,playlist,,0.0
Add give us rest to my 70s Smash Hits playlist.,,restaurant_type,0.4143058657646179
Add give us rest to my 70s Smash Hits playlist.,,playlist_owner,0.926699161529541
Add give us rest to my 70s Smash Hits playlist.,,object_name,0.33293724060058594
Add give us rest to my 70s Smash Hits playlist.,,city,0.35256227850914
Add give us rest to my 70s Smash Hits playlist.,entity_name,,0.0
Add give us rest to my 70s Smash Hits playlist.,playlist_owner,,0.0
Add give us rest to my 70s Smash Hits playlist.,playlist,,0.0
Add the track to the work playlist.,,music_item,0.9522354602813721
Add the track to the work playlist.,entity_name,,0.0
Add the track to the work playlist.,playlist,,0.0
For my fantastic workout can you add sara bareilles?,artist,playlist_owner,0.9097177982330322
For my fantastic workout can you add sara bareilles?,,playlist,0.9734998345375061
For my fantastic workout can you add sara bareilles?,,artist,0.6847612857818604
For my fantastic workout can you add sara bareilles?,,restaurant_type,0.6446345448493958
For my fantastic workout can you add sara bareilles?,music_item,,0.0
For my fantastic workout can you add sara bareilles?,playlist,,0.0
Add emilie autumn to my Nacao Reggae playlist.,playlist_owner,playlist_owner,0.9320396780967712
Add emilie autumn to my Nacao Reggae playlist.,playlist,object_name,0.16250461339950562
Add emilie autumn to my Nacao Reggae playlist.,artist,,0.0
add this tune to my Sleepify playlist,,music_item,0.9943743944168091
add this tune to my Sleepify playlist,,playlist_owner,0.9366543292999268
add this tune to my Sleepify playlist,,service,0.4783495366573334
add this tune to my Sleepify playlist,music_item,,0.0
add this tune to my Sleepify playlist,playlist_owner,,0.0
add this tune to my Sleepify playlist,playlist,,0.0
add track in my playlist called Hands Up,artist,music_item,0.9292327761650085
add track in my playlist called Hands Up,,playlist_owner,0.9195664525032043
add track in my playlist called Hands Up,,state,0.37529605627059937
add track in my playlist called Hands Up,playlist_owner,,0.0
add track in my playlist called Hands Up,playlist,,0.0
Add the album to my Club Hits playlist.,,playlist_owner,0.9390836358070374
Add the album to my Club Hits playlist.,,playlist,0.3048790395259857
Add the album to my Club Hits playlist.,,city,0.4273906648159027
Add the album to my Club Hits playlist.,playlist,,0.0
Add the album to my Club Hits playlist.,artist,,0.0
Add the album to my Club Hits playlist.,music_item,,0.0
I'd like to add jordan rudess onto the Divertido para ninos playlist.,,artist,0.8876563310623169
I'd like to add jordan rudess onto the Divertido para ninos playlist.,,playlist,0.5014331936836243
I'd like to add jordan rudess onto the Divertido para ninos playlist.,,city,0.2553222179412842
I'd like to add jordan rudess onto the Divertido para ninos playlist.,music_item,,0.0
I'd like to add jordan rudess onto the Divertido para ninos playlist.,playlist,,0.0
I'd like for you to add bobby brown to my enamorandose playlist.,,poi,0.5304921865463257
I'd like for you to add bobby brown to my enamorandose playlist.,,playlist_owner,0.3833993077278137
I'd like for you to add bobby brown to my enamorandose playlist.,music_item,,0.0
I'd like for you to add bobby brown to my enamorandose playlist.,playlist_owner,,0.0
I'd like for you to add bobby brown to my enamorandose playlist.,playlist,,0.0
I need to add to my Infinite Indie Folk list the works of Rahim Shah,playlist_owner,playlist_owner,0.9322989583015442
I need to add to my Infinite Indie Folk list the works of Rahim Shah,playlist,object_name,0.1692572385072708
I need to add to my Infinite Indie Folk list the works of Rahim Shah,artist,object_name,0.43503573536872864
I need to add to my Infinite Indie Folk list the works of Rahim Shah,,track,0.2389853596687317
add Jonathan Sprout album to my this is miranda lambert playlist,,artist,0.24197161197662354
add Jonathan Sprout album to my this is miranda lambert playlist,,playlist_owner,0.9239079356193542
add Jonathan Sprout album to my this is miranda lambert playlist,,timeRange,0.1363784372806549
add Jonathan Sprout album to my this is miranda lambert playlist,music_item,,0.0
add Jonathan Sprout album to my this is miranda lambert playlist,playlist_owner,,0.0
add Jonathan Sprout album to my this is miranda lambert playlist,playlist,,0.0
add Muzika za decu to my Crash Course playlist,,playlist_owner,0.1680532693862915
add Muzika za decu to my Crash Course playlist,artist,,0.0
add Muzika za decu to my Crash Course playlist,playlist_owner,,0.0
add Muzika za decu to my Crash Course playlist,playlist,,0.0
Add jo stafford music to the workout twerkout playlist,,playlist,0.9851102828979492
Add jo stafford music to the workout twerkout playlist,music_item,,0.0
Add jo stafford music to the workout twerkout playlist,playlist_owner,,0.0
Add jo stafford music to the workout twerkout playlist,playlist,,0.0
Add Richard McNamara newest song to the Just Smile playlist,entity_name,artist,0.3073415458202362
Add Richard McNamara newest song to the Just Smile playlist,,artist,0.4841407537460327
Add Richard McNamara newest song to the Just Smile playlist,,sort,0.49679863452911377
Add Richard McNamara newest song to the Just Smile playlist,,music_item,0.9973562955856323
Add Richard McNamara newest song to the Just Smile playlist,,object_name,0.3932968080043793
Add Richard McNamara newest song to the Just Smile playlist,playlist_owner,,0.0
Add Richard McNamara newest song to the Just Smile playlist,playlist,,0.0
Add Andy Hunter to my Evening Commute playlist.,artist,track,0.3358270227909088
Add Andy Hunter to my Evening Commute playlist.,,playlist_owner,0.9177790880203247
Add Andy Hunter to my Evening Commute playlist.,,object_name,0.4598556160926819
Add Andy Hunter to my Evening Commute playlist.,playlist_owner,,0.0
Add Andy Hunter to my Evening Commute playlist.,playlist,,0.0
add the current track to my This Is Tchaikovsky playlist,,object_select,0.8333171606063843
add the current track to my This Is Tchaikovsky playlist,,music_item,0.9675795435905457
add the current track to my This Is Tchaikovsky playlist,,playlist_owner,0.9470433592796326
add the current track to my This Is Tchaikovsky playlist,,playlist,0.75
add the current track to my This Is Tchaikovsky playlist,music_item,,0.0
add the current track to my This Is Tchaikovsky playlist,playlist,,0.0
Can I put this tune onto my sin estres playlist?,,music_item,0.9937770366668701
Can I put this tune onto my sin estres playlist?,,playlist_owner,0.9269053339958191
Can I put this tune onto my sin estres playlist?,,playlist,0.7506686449050903
Can I put this tune onto my sin estres playlist?,entity_name,,0.0
Can I put this tune onto my sin estres playlist?,playlist_owner,,0.0
Can I put this tune onto my sin estres playlist?,playlist,,0.0
Add the boy george track to the Emo Forever playlist.,playlist_owner,music_item,0.9767192602157593
Add the boy george track to the Emo Forever playlist.,,object_name,0.4414353370666504
Add the boy george track to the Emo Forever playlist.,music_item,,0.0
Add the boy george track to the Emo Forever playlist.,playlist,,0.0
Add jack white to my playlist This Is Shakira,entity_name,music_item,0.5177972912788391
Add jack white to my playlist This Is Shakira,,playlist_owner,0.9298967719078064
Add jack white to my playlist This Is Shakira,,playlist,0.76
Add jack white to my playlist This Is Shakira,playlist,,0.0
add this song by Too Poetic to my Piano Ballads playlist,,music_item,0.9961479902267456
add this song by Too Poetic to my Piano Ballads playlist,,movie_name,0.3439027667045593
add this song by Too Poetic to my Piano Ballads playlist,,playlist_owner,0.2833782136440277
add this song by Too Poetic to my Piano Ballads playlist,music_item,,0.0
add this song by Too Poetic to my Piano Ballads playlist,playlist,,0.0
add Farhad Darya songs in virales de siempre,music_item,object_name,0.387660950422287
add Farhad Darya songs in virales de siempre,,artist,0.54
add Farhad Darya songs in virales de siempre,,playlist,0.14577317237854004
add Farhad Darya songs in virales de siempre,playlist_owner,,0.0
add Farhad Darya songs in virales de siempre,playlist,,0.0
add this track to my Hands Up playlist,,music_item,0.9557291865348816
